,r,rho,ratio,p,q,error
0,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,5,7.57071083510103457e-05
1,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,3,4.14465997635142666e-05
2,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,15,2.48679598581085599e-04
3,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,15,5,2.47040891366549357e-10
4,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,20,3,2.41192063344316707e-14
5,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,20,20,2.41227237500679329e-15
6,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,3,3,1.00715237425340076e+00
7,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,5,2.48679598581086486e-02
8,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,10,20,2.52969969165492888e-07
9,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,10,20,2.52969969312424451e-08
10,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,10,2.48679598581086486e-02
11,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,3,1.34438613433361553e-01
12,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,15,1.00715237425340026e-01
13,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,15,3,3.19029131487372068e-04
14,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,5,15,2.59041248521955738e-06
15,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,3,20,9.94718394324344566e-04
16,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,10,5,7.77123745565850993e-06
17,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,20,4.14465997635134718e-03
18,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,5,5,5.66523210517537890e-03
19,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,10,15,1.34438613433360988e-02
20,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,15,7.57071083510103457e-05
21,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,3,5,9.94718394324344566e-04
22,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,15,5,2.47040970880416390e-12
23,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,3,5,9.94718394324345945e-02
24,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,15,3.19029131487370311e-03
25,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,20,20,7.58909907602497015e-09
26,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,10,2.48679598581085599e-04
27,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,3,3,9.94718394324344566e-04
28,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,20,5,7.58909907779194599e-07
29,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,15,20,2.47041039678535577e-11
30,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,20,3,7.58909907602497015e-09
31,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,10,5,1.34438613433360988e-02
32,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,10,5,1.34438613433361079e-03
33,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,15,15,3.19029131487375966e-02
34,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,20,3,7.58909907779194572e-08
35,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,5,20,2.59041248521870836e-04
36,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,3,1.00715237425340037e-02
37,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,20,5,2.41192063344316707e-14
38,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,5,5,2.48679598581086478e-03
39,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,10,3,7.77123745565850993e-06
40,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,10,3,2.52969969200832360e-08
41,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,5,4.14465997635142666e-05
42,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,5,5.66523210517537665e-02
43,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,5,3,2.59041248521950359e-06
44,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,20,15,7.57071083510124729e-03
45,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,5,5,2.59041248521906195e-05
46,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,5,15,2.59041248521870836e-04
47,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,3,5.66523210517537665e-02
48,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,5,2.42851170489342263e-06
49,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,3,15,9.94718394324344566e-04
50,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,20,3,7.57071083510124729e-03
51,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,15,4.14465997635134718e-03
52,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,5,3,2.59041248521906195e-05
53,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,3,20,9.94718394324345945e-02
54,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,20,20,7.58909907779194572e-08
55,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,20,15,2.41192063344316707e-15
56,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,20,15,7.58909907779194572e-08
57,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,3,10,4.14465997635138220e-04
58,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,15,20,2.42851170488017017e-07
59,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,10,20,1.34438613433361079e-03
60,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,3,5,1.00715237425340076e+00
61,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,15,10,2.47040891366549357e-10
62,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,5,20,2.59041248522017732e-05
63,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,15,20,2.47040970880416390e-12
64,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,10,20,7.77123745565850993e-06
